Start_local;End_local;Ozone
26/05/2017 10:30;26/05/2017 11:00;70
26/05/2017 11:00;26/05/2017 11:30;74
26/05/2017 11:30;26/05/2017 12:00;101
26/05/2017 12:00;26/05/2017 12:30;110
26/05/2017 12:30;26/05/2017 13:00;115
26/05/2017 13:00;26/05/2017 13:30;122
26/05/2017 13:30;26/05/2017 14:00;126
26/05/2017 14:00;26/05/2017 14:30;130
26/05/2017 14:30;26/05/2017 15:00;133
26/05/2017 15:00;26/05/2017 15:30;132
26/05/2017 15:30;26/05/2017 16:00;129
26/05/2017 16:00;26/05/2017 16:30;129
26/05/2017 16:30;26/05/2017 17:00;127
26/05/2017 17:00;26/05/2017 17:30;126
26/05/2017 17:30;26/05/2017 18:00;122
26/05/2017 18:00;26/05/2017 18:30;120
26/05/2017 18:30;26/05/2017 19:00;120
26/05/2017 19:00;26/05/2017 19:30;116
26/05/2017 19:30;26/05/2017 20:00;113
26/05/2017 20:00;26/05/2017 20:30;105
26/05/2017 20:30;26/05/2017 21:00;93
26/05/2017 21:00;26/05/2017 21:30;83
26/05/2017 21:30;26/05/2017 22:00;74
26/05/2017 22:00;26/05/2017 22:30;64
26/05/2017 22:30;26/05/2017 23:00;56
26/05/2017 23:00;26/05/2017 23:30;66
26/05/2017 23:30;27/05/2017 0:00;47
27/05/2017 0:00;27/05/2017 0:30;41
27/05/2017 0:30;27/05/2017 1:00;36
27/05/2017 1:00;27/05/2017 1:30;38
27/05/2017 1:30;27/05/2017 2:00;38
27/05/2017 2:00;27/05/2017 2:30;32
27/05/2017 2:30;27/05/2017 3:00;32
27/05/2017 3:00;27/05/2017 3:30;32
27/05/2017 3:30;27/05/2017 4:00;30
27/05/2017 4:00;27/05/2017 4:30;21
27/05/2017 4:30;27/05/2017 5:00;17
27/05/2017 5:00;27/05/2017 5:30;16
27/05/2017 5:30;27/05/2017 6:00;15
27/05/2017 6:00;27/05/2017 6:30;15
27/05/2017 6:30;27/05/2017 7:00;15
27/05/2017 7:00;27/05/2017 7:30;23
27/05/2017 7:30;27/05/2017 8:00;28
27/05/2017 8:00;27/05/2017 8:30;30
27/05/2017 8:30;27/05/2017 9:00;41
27/05/2017 9:00;27/05/2017 9:30;42
27/05/2017 9:30;27/05/2017 10:00;53
27/05/2017 10:00;27/05/2017 10:30;62
27/05/2017 10:30;27/05/2017 11:00;79
27/05/2017 11:00;27/05/2017 11:30;96
27/05/2017 11:30;27/05/2017 12:00;103
27/05/2017 12:00;27/05/2017 12:30;115
27/05/2017 12:30;27/05/2017 13:00;120
27/05/2017 13:00;27/05/2017 13:30;120
27/05/2017 13:30;27/05/2017 14:00;120
27/05/2017 14:00;27/05/2017 14:30;120
27/05/2017 14:30;27/05/2017 15:00;122
27/05/2017 15:00;27/05/2017 15:30;122
27/05/2017 15:30;27/05/2017 16:00;122
27/05/2017 16:00;27/05/2017 16:30;124
27/05/2017 16:30;27/05/2017 17:00;123
27/05/2017 17:00;27/05/2017 17:30;121
27/05/2017 17:30;27/05/2017 18:00;121
27/05/2017 18:00;27/05/2017 18:30;126
27/05/2017 18:30;27/05/2017 19:00;128
27/05/2017 19:00;27/05/2017 19:30;127
27/05/2017 19:30;27/05/2017 20:00;126
27/05/2017 20:00;27/05/2017 20:30;124
27/05/2017 20:30;27/05/2017 21:00;117
27/05/2017 21:00;27/05/2017 21:30;110
27/05/2017 21:30;27/05/2017 22:00;112
27/05/2017 22:00;27/05/2017 22:30;101
27/05/2017 22:30;27/05/2017 23:00;75
27/05/2017 23:00;27/05/2017 23:30;66
27/05/2017 23:30;28/05/2017 0:00;63
28/05/2017 0:00;28/05/2017 0:30;60
28/05/2017 0:30;28/05/2017 1:00;55
28/05/2017 1:00;28/05/2017 1:30;58
28/05/2017 1:30;28/05/2017 2:00;60
28/05/2017 2:00;28/05/2017 2:30;56
28/05/2017 2:30;28/05/2017 3:00;52
28/05/2017 3:00;28/05/2017 3:30;44
28/05/2017 3:30;28/05/2017 4:00;42
28/05/2017 4:00;28/05/2017 4:30;38
28/05/2017 4:30;28/05/2017 5:00;34
28/05/2017 5:00;28/05/2017 5:30;38
28/05/2017 5:30;28/05/2017 6:00;34
28/05/2017 6:00;28/05/2017 6:30;25
28/05/2017 6:30;28/05/2017 7:00;21
