Start_local;End_local;Ozone
09/07/2018 15:30;09/07/2018 16:00;88
09/07/2018 16:00;09/07/2018 16:30;99
09/07/2018 16:30;09/07/2018 17:00;105
09/07/2018 17:00;09/07/2018 17:30;110
09/07/2018 17:30;09/07/2018 18:00;107
09/07/2018 18:00;09/07/2018 18:30;113
09/07/2018 18:30;09/07/2018 19:00;110
09/07/2018 19:00;09/07/2018 19:30;101
09/07/2018 19:30;09/07/2018 20:00;93
09/07/2018 20:00;09/07/2018 20:30;88
09/07/2018 20:30;09/07/2018 21:00;85
09/07/2018 21:00;09/07/2018 21:30;83
09/07/2018 21:30;09/07/2018 22:00;77
09/07/2018 22:00;09/07/2018 22:30;74
09/07/2018 22:30;09/07/2018 23:00;69
09/07/2018 23:00;09/07/2018 23:30;64
09/07/2018 23:30;10/07/2018 0:00;72
10/07/2018 0:00;10/07/2018 0:30;71
10/07/2018 0:30;10/07/2018 1:00;61
10/07/2018 1:00;10/07/2018 1:30;57
10/07/2018 1:30;10/07/2018 2:00;50
10/07/2018 2:00;10/07/2018 2:30;45
10/07/2018 2:30;10/07/2018 3:00;44
10/07/2018 3:00;10/07/2018 3:30;55
10/07/2018 3:30;10/07/2018 4:00;90
10/07/2018 4:00;10/07/2018 4:30;89
10/07/2018 4:30;10/07/2018 5:00;78
10/07/2018 5:00;10/07/2018 5:30;68
10/07/2018 5:30;10/07/2018 6:00;59
10/07/2018 6:00;10/07/2018 6:30;41
10/07/2018 6:30;10/07/2018 7:00;39
10/07/2018 7:00;10/07/2018 7:30;40
10/07/2018 7:30;10/07/2018 8:00;58
10/07/2018 8:00;10/07/2018 8:30;68
10/07/2018 8:30;10/07/2018 9:00;67
10/07/2018 9:00;10/07/2018 9:30;69
10/07/2018 9:30;10/07/2018 10:00;76
10/07/2018 10:00;10/07/2018 10:30;81
10/07/2018 10:30;10/07/2018 11:00;85
10/07/2018 11:00;10/07/2018 11:30;90
10/07/2018 11:30;10/07/2018 12:00;95
10/07/2018 12:00;10/07/2018 12:30;96
10/07/2018 12:30;10/07/2018 13:00;99
10/07/2018 13:00;10/07/2018 13:30;100
10/07/2018 13:30;10/07/2018 14:00;104
10/07/2018 14:00;10/07/2018 14:30;101
10/07/2018 14:30;10/07/2018 15:00;99
10/07/2018 15:00;10/07/2018 15:30;103
10/07/2018 15:30;10/07/2018 16:00;106
10/07/2018 16:00;10/07/2018 16:30;103
10/07/2018 16:30;10/07/2018 17:00;92
10/07/2018 17:00;10/07/2018 17:30;88
10/07/2018 17:30;10/07/2018 18:00;91
10/07/2018 18:00;10/07/2018 18:30;85
10/07/2018 18:30;10/07/2018 19:00;82
10/07/2018 19:00;10/07/2018 19:30;83
10/07/2018 19:30;10/07/2018 20:00;79
10/07/2018 20:00;10/07/2018 20:30;75
10/07/2018 20:30;10/07/2018 21:00;75
10/07/2018 21:00;10/07/2018 21:30;70
10/07/2018 21:30;10/07/2018 22:00;66
10/07/2018 22:00;10/07/2018 22:30;63
10/07/2018 22:30;10/07/2018 23:00;69
10/07/2018 23:00;10/07/2018 23:30;79
10/07/2018 23:30;11/07/2018 0:00;81
11/07/2018 0:00;11/07/2018 0:30;81
11/07/2018 0:30;11/07/2018 1:00;83
11/07/2018 1:00;11/07/2018 1:30;82
11/07/2018 1:30;11/07/2018 2:00;80
11/07/2018 2:00;11/07/2018 2:30;74
11/07/2018 2:30;11/07/2018 3:00;72
11/07/2018 3:00;11/07/2018 3:30;72
11/07/2018 3:30;11/07/2018 4:00;68
11/07/2018 4:00;11/07/2018 4:30;62
11/07/2018 4:30;11/07/2018 5:00;62
11/07/2018 5:00;11/07/2018 5:30;64
11/07/2018 5:30;11/07/2018 6:00;57
11/07/2018 6:00;11/07/2018 6:30;52
11/07/2018 6:30;11/07/2018 7:00;51
11/07/2018 7:00;11/07/2018 7:30;50
11/07/2018 7:30;11/07/2018 8:00;50
11/07/2018 8:00;11/07/2018 8:30;49
11/07/2018 8:30;11/07/2018 9:00;51
11/07/2018 9:00;11/07/2018 9:30;56
11/07/2018 9:30;11/07/2018 10:00;56
11/07/2018 10:00;11/07/2018 10:30;60
11/07/2018 10:30;11/07/2018 11:00;65
11/07/2018 11:00;11/07/2018 11:30;69
11/07/2018 11:30;11/07/2018 12:00;76
11/07/2018 12:00;11/07/2018 12:30;80
11/07/2018 12:30;11/07/2018 13:00;81
11/07/2018 13:00;11/07/2018 13:30;79
11/07/2018 13:30;11/07/2018 14:00;78
11/07/2018 14:00;11/07/2018 14:30;78
11/07/2018 14:30;11/07/2018 15:00;85
11/07/2018 15:00;11/07/2018 15:30;86
11/07/2018 15:30;11/07/2018 16:00;90
11/07/2018 16:00;11/07/2018 16:30;93
11/07/2018 16:30;11/07/2018 17:00;95
11/07/2018 17:00;11/07/2018 17:30;93
11/07/2018 17:30;11/07/2018 18:00;95
11/07/2018 18:00;11/07/2018 18:30;103
11/07/2018 18:30;11/07/2018 19:00;95
11/07/2018 19:00;11/07/2018 19:30;89
11/07/2018 19:30;11/07/2018 20:00;91
11/07/2018 20:00;11/07/2018 20:30;81
11/07/2018 20:30;11/07/2018 21:00;71
11/07/2018 21:00;11/07/2018 21:30;63
11/07/2018 21:30;11/07/2018 22:00;58
11/07/2018 22:00;11/07/2018 22:30;56
11/07/2018 22:30;11/07/2018 23:00;54
11/07/2018 23:00;11/07/2018 23:30;49
11/07/2018 23:30;12/07/2018 0:00;46
12/07/2018 0:00;12/07/2018 0:30;49
12/07/2018 0:30;12/07/2018 1:00;44
12/07/2018 1:00;12/07/2018 1:30;37
12/07/2018 1:30;12/07/2018 2:00;47
12/07/2018 2:00;12/07/2018 2:30;56
12/07/2018 2:30;12/07/2018 3:00;51
12/07/2018 3:00;12/07/2018 3:30;53
12/07/2018 3:30;12/07/2018 4:00;50
12/07/2018 4:00;12/07/2018 4:30;48
12/07/2018 4:30;12/07/2018 5:00;46
12/07/2018 5:00;12/07/2018 5:30;37
12/07/2018 5:30;12/07/2018 6:00;48
12/07/2018 6:00;12/07/2018 6:30;57
12/07/2018 6:30;12/07/2018 7:00;54
12/07/2018 7:00;12/07/2018 7:30;59
12/07/2018 7:30;12/07/2018 8:00;61
12/07/2018 8:00;12/07/2018 8:30;68
12/07/2018 8:30;12/07/2018 9:00;71
12/07/2018 9:00;12/07/2018 9:30;74
12/07/2018 9:30;12/07/2018 10:00;74
12/07/2018 10:00;12/07/2018 10:30;78
12/07/2018 10:30;12/07/2018 11:00;81
12/07/2018 11:00;12/07/2018 11:30;82
12/07/2018 11:30;12/07/2018 12:00;82
12/07/2018 12:00;12/07/2018 12:30;85
12/07/2018 12:30;12/07/2018 13:00;90
12/07/2018 13:00;12/07/2018 13:30;92
12/07/2018 13:30;12/07/2018 14:00;95
12/07/2018 14:00;12/07/2018 14:30;98
12/07/2018 14:30;12/07/2018 15:00;98
12/07/2018 15:00;12/07/2018 15:30;100
12/07/2018 15:30;12/07/2018 16:00;97
12/07/2018 16:00;12/07/2018 16:30;90
12/07/2018 16:30;12/07/2018 17:00;87
12/07/2018 17:00;12/07/2018 17:30;95
12/07/2018 17:30;12/07/2018 18:00;95
12/07/2018 18:00;12/07/2018 18:30;99
12/07/2018 18:30;12/07/2018 19:00;94
12/07/2018 19:00;12/07/2018 19:30;90
12/07/2018 19:30;12/07/2018 20:00;82
12/07/2018 20:00;12/07/2018 20:30;76
12/07/2018 20:30;12/07/2018 21:00;73
12/07/2018 21:00;12/07/2018 21:30;66
12/07/2018 21:30;12/07/2018 22:00;64
12/07/2018 22:00;12/07/2018 22:30;56
12/07/2018 22:30;12/07/2018 23:00;45
12/07/2018 23:00;12/07/2018 23:30;60
12/07/2018 23:30;13/07/2018 0:00;51
13/07/2018 0:00;13/07/2018 0:30;62
13/07/2018 0:30;13/07/2018 1:00;49
13/07/2018 1:00;13/07/2018 1:30;40
13/07/2018 1:30;13/07/2018 2:00;37
13/07/2018 2:00;13/07/2018 2:30;53
13/07/2018 2:30;13/07/2018 3:00;65
13/07/2018 3:00;13/07/2018 3:30;83
13/07/2018 3:30;13/07/2018 4:00;93
13/07/2018 4:00;13/07/2018 4:30;78
13/07/2018 4:30;13/07/2018 5:00;69
13/07/2018 5:00;13/07/2018 5:30;62
13/07/2018 5:30;13/07/2018 6:00;55
13/07/2018 6:00;13/07/2018 6:30;54
13/07/2018 6:30;13/07/2018 7:00;51
13/07/2018 7:00;13/07/2018 7:30;38
13/07/2018 7:30;13/07/2018 8:00;54
13/07/2018 8:00;13/07/2018 8:30;59
13/07/2018 8:30;13/07/2018 9:00;63
13/07/2018 9:00;13/07/2018 9:30;63
13/07/2018 9:30;13/07/2018 10:00;71
13/07/2018 10:00;13/07/2018 10:30;77
13/07/2018 10:30;13/07/2018 11:00;80
13/07/2018 11:00;13/07/2018 11:30;85
13/07/2018 11:30;13/07/2018 12:00;87
13/07/2018 12:00;13/07/2018 12:30;92
13/07/2018 12:30;13/07/2018 13:00;92
13/07/2018 13:00;13/07/2018 13:30;94
13/07/2018 13:30;13/07/2018 14:00;98
13/07/2018 14:00;13/07/2018 14:30;99
13/07/2018 14:30;13/07/2018 15:00;103
13/07/2018 15:00;13/07/2018 15:30;103
13/07/2018 15:30;13/07/2018 16:00;104
13/07/2018 16:00;13/07/2018 16:30;107
13/07/2018 16:30;13/07/2018 17:00;106
13/07/2018 17:00;13/07/2018 17:30;94
13/07/2018 17:30;13/07/2018 18:00;91
13/07/2018 18:00;13/07/2018 18:30;102
13/07/2018 18:30;13/07/2018 19:00;102
13/07/2018 19:00;13/07/2018 19:30;98
13/07/2018 19:30;13/07/2018 20:00;92
13/07/2018 20:00;13/07/2018 20:30;84
13/07/2018 20:30;13/07/2018 21:00;76
13/07/2018 21:00;13/07/2018 21:30;74
13/07/2018 21:30;13/07/2018 22:00;62
13/07/2018 22:00;13/07/2018 22:30;61
13/07/2018 22:30;13/07/2018 23:00;56
13/07/2018 23:00;13/07/2018 23:30;57
13/07/2018 23:30;14/07/2018 0:00;48
14/07/2018 0:00;14/07/2018 0:30;44
14/07/2018 0:30;14/07/2018 1:00;55
14/07/2018 1:00;14/07/2018 1:30;52
14/07/2018 1:30;14/07/2018 2:00;46
14/07/2018 2:00;14/07/2018 2:30;45
14/07/2018 2:30;14/07/2018 3:00;46
14/07/2018 3:00;14/07/2018 3:30;47
14/07/2018 3:30;14/07/2018 4:00;41
14/07/2018 4:00;14/07/2018 4:30;38
14/07/2018 4:30;14/07/2018 5:00;47
