date;Ozone concentration
2018-06-29 01:00:00;39.46
2018-06-29 02:00:00;39.24
2018-06-29 03:00:00;39.66
2018-06-29 04:00:00;39.67
2018-06-29 05:00:00;39.79
2018-06-29 06:00:00;40.7
2018-06-29 07:00:00;42.27
2018-06-29 08:00:00;44.96
2018-06-29 09:00:00;46.22
2018-06-29 10:00:00;44.48
2018-06-29 11:00:00;44.94
2018-06-29 12:00:00;49.85
2018-06-29 13:00:00;48.55
2018-06-29 14:00:00;46.74
2018-06-29 15:00:00;47.64
2018-06-29 16:00:00;47.8
2018-06-29 17:00:00;47.72
2018-06-29 18:00:00;48.35
2018-06-29 19:00:00;43.84
2018-06-29 20:00:00;41.29
2018-06-29 21:00:00;40.63
2018-06-29 22:00:00;40.52
2018-06-29 23:00:00;40.93
2018-06-30 00:00:00;39.96
2018-06-30 01:00:00;38.87
2018-06-30 02:00:00;38.0
2018-06-30 03:00:00;37.51
2018-06-30 04:00:00;37.86
2018-06-30 05:00:00;38.4
2018-06-30 06:00:00;39.72
2018-06-30 07:00:00;40.07
2018-06-30 08:00:00;41.4
2018-06-30 09:00:00;41.35
2018-06-30 10:00:00;44.35
2018-06-30 11:00:00;54.12
2018-06-30 12:00:00;57.29
2018-06-30 13:00:00;54.5
2018-06-30 14:00:00;53.8
2018-06-30 15:00:00;53.28
2018-06-30 16:00:00;50.36
2018-06-30 17:00:00;46.53
2018-06-30 18:00:00;43.69
2018-06-30 19:00:00;38.14
2018-06-30 20:00:00;33.23
2018-06-30 21:00:00;30.29
2018-06-30 22:00:00;29.67
2018-06-30 23:00:00;29.68
2018-07-01 00:00:00;29.19
2018-07-01 01:00:00;28.37
2018-07-01 02:00:00;26.95
2018-07-01 03:00:00;25.93
2018-07-01 04:00:00;24.68
2018-07-01 05:00:00;25.18
2018-07-01 06:00:00;27.53
2018-07-01 07:00:00;31.77
2018-07-01 08:00:00;33.41
2018-07-01 09:00:00;36.12
2018-07-01 10:00:00;40.62
2018-07-01 11:00:00;46.02
2018-07-01 12:00:00;47.15
2018-07-01 13:00:00;44.74
2018-07-01 14:00:00;45.88
2018-07-01 15:00:00;46.8
2018-07-01 16:00:00;47.73
