date;Ozone concentration
2018-06-18 16:00:00;135.56
2018-06-18 17:00:00;120.96
2018-06-18 18:00:00;110.73
2018-06-18 19:00:00;90.48
2018-06-18 20:00:00;77.6
2018-06-18 21:00:00;74.47
2018-06-18 22:00:00;75.94
2018-06-18 23:00:00;79.46
2018-06-19 00:00:00;62.74
2018-06-19 01:00:00;61.06
2018-06-19 02:00:00;63.59
2018-06-19 03:00:00;59.46
2018-06-19 04:00:00;60.62
2018-06-19 05:00:00;64.44
2018-06-19 06:00:00;77.4
2018-06-19 07:00:00;86.88
2018-06-19 08:00:00;101.38
2018-06-19 09:00:00;105.3
2018-06-19 10:00:00;116.21
2018-06-19 11:00:00;121.37
2018-06-19 12:00:00;122.23
2018-06-19 13:00:00;131.13
2018-06-19 14:00:00;136.88
2018-06-19 15:00:00;133.73
2018-06-19 16:00:00;128.73
2018-06-19 17:00:00;123.01
2018-06-19 18:00:00;106.61
2018-06-19 19:00:00;86.72
2018-06-19 20:00:00;79.31
2018-06-19 21:00:00;77.81
2018-06-19 22:00:00;75.72
2018-06-19 23:00:00;65.85
2018-06-20 00:00:00;65.25
2018-06-20 01:00:00;64.96
2018-06-20 02:00:00;61.9
2018-06-20 03:00:00;66.38
2018-06-20 04:00:00;58.55
2018-06-20 05:00:00;62.66
2018-06-20 06:00:00;82.69
2018-06-20 07:00:00;95.65
2018-06-20 08:00:00;102.93
2018-06-20 09:00:00;114.24
2018-06-20 10:00:00;127.45
2018-06-20 11:00:00;134.06
2018-06-20 12:00:00;136.33
2018-06-20 13:00:00;147.85
2018-06-20 14:00:00;150.9
2018-06-20 15:00:00;151.21
2018-06-20 16:00:00;151.6
2018-06-20 17:00:00;142.32
2018-06-20 18:00:00;131.37
2018-06-20 19:00:00;99.23
2018-06-20 20:00:00;84.98
2018-06-20 21:00:00;83.38
2018-06-20 22:00:00;81.21
2018-06-20 23:00:00;75.72
2018-06-21 00:00:00;69.76
2018-06-21 01:00:00;66.97
2018-06-21 02:00:00;70.53
2018-06-21 03:00:00;69.3
2018-06-21 04:00:00;65.43
2018-06-21 05:00:00;68.81
2018-06-21 06:00:00;77.61
2018-06-21 07:00:00;94.89
2018-06-21 08:00:00;111.68
2018-06-21 09:00:00;134.87
2018-06-21 10:00:00;151.14
2018-06-21 11:00:00;157.7
2018-06-21 12:00:00;157.0
2018-06-21 13:00:00;160.78
2018-06-21 14:00:00;166.93
2018-06-21 15:00:00;170.0
2018-06-21 16:00:00;151.74
2018-06-21 17:00:00;136.78
2018-06-21 18:00:00;129.13
2018-06-21 19:00:00;120.12
2018-06-21 20:00:00;104.46
2018-06-21 21:00:00;105.87
2018-06-21 22:00:00;100.82
2018-06-21 23:00:00;86.02
2018-06-22 00:00:00;75.21
2018-06-22 01:00:00;67.45
2018-06-22 02:00:00;60.74
2018-06-22 03:00:00;71.7
2018-06-22 04:00:00;89.68
2018-06-22 05:00:00;98.32
2018-06-22 06:00:00;99.15
2018-06-22 07:00:00;91.0
2018-06-22 08:00:00;83.45
2018-06-22 09:00:00;83.66
2018-06-22 10:00:00;83.42
2018-06-22 11:00:00;85.25
2018-06-22 12:00:00;86.0
2018-06-22 13:00:00;88.96
2018-06-22 14:00:00;88.79
2018-06-22 15:00:00;91.8
2018-06-22 16:00:00;94.28
2018-06-22 17:00:00;92.3
2018-06-22 18:00:00;91.16
2018-06-22 19:00:00;83.6
2018-06-22 20:00:00;75.93
2018-06-22 21:00:00;77.88
2018-06-22 22:00:00;70.99
2018-06-22 23:00:00;69.32
2018-06-23 00:00:00;67.85
2018-06-23 01:00:00;64.87
2018-06-23 02:00:00;63.48
2018-06-23 03:00:00;61.59
2018-06-23 04:00:00;56.7
2018-06-23 05:00:00;60.83
2018-06-23 06:00:00;69.7
2018-06-23 07:00:00;77.83
2018-06-23 08:00:00;82.59
2018-06-23 09:00:00;88.49
2018-06-23 10:00:00;97.34
2018-06-23 11:00:00;105.35
2018-06-23 12:00:00;102.64
2018-06-23 13:00:00;107.68
2018-06-23 14:00:00;106.9
2018-06-23 15:00:00;106.93
2018-06-23 16:00:00;103.64
2018-06-23 17:00:00;99.81
2018-06-23 18:00:00;93.8
2018-06-23 19:00:00;87.85
2018-06-23 20:00:00;79.97
2018-06-23 21:00:00;68.28
2018-06-23 22:00:00;64.52
2018-06-23 23:00:00;67.95
2018-06-24 00:00:00;67.52
2018-06-24 01:00:00;58.24
2018-06-24 02:00:00;50.97
2018-06-24 03:00:00;45.57
2018-06-24 04:00:00;46.55
2018-06-24 05:00:00;42.69
2018-06-24 06:00:00;57.98
2018-06-24 07:00:00;67.74
2018-06-24 08:00:00;85.4
2018-06-24 09:00:00;91.07
2018-06-24 10:00:00;95.8
2018-06-24 11:00:00;104.35
2018-06-24 12:00:00;106.24
2018-06-24 13:00:00;108.71
2018-06-24 14:00:00;105.25
2018-06-24 15:00:00;100.85
2018-06-24 16:00:00;100.73
2018-06-24 17:00:00;97.99
2018-06-24 18:00:00;96.17
2018-06-24 19:00:00;87.44
2018-06-24 20:00:00;81.83
2018-06-24 21:00:00;76.91
2018-06-24 22:00:00;70.0
2018-06-24 23:00:00;64.87
2018-06-25 00:00:00;64.98
2018-06-25 01:00:00;61.8
2018-06-25 02:00:00;63.44
2018-06-25 03:00:00;73.91
2018-06-25 04:00:00;71.41
2018-06-25 05:00:00;71.51
2018-06-25 06:00:00;77.07
2018-06-25 07:00:00;72.78
2018-06-25 08:00:00;74.08
2018-06-25 09:00:00;76.11
2018-06-25 10:00:00;78.21
2018-06-25 11:00:00;89.09
2018-06-25 12:00:00;94.01
2018-06-25 13:00:00;99.08
2018-06-25 14:00:00;101.48
2018-06-25 15:00:00;103.61
2018-06-25 16:00:00;98.25
2018-06-25 17:00:00;89.2
2018-06-25 18:00:00;78.07
2018-06-25 19:00:00;72.57
2018-06-25 20:00:00;60.01
2018-06-25 21:00:00;54.04
2018-06-25 22:00:00;53.56
2018-06-25 23:00:00;59.59
2018-06-26 00:00:00;64.66
2018-06-26 01:00:00;60.86
2018-06-26 02:00:00;58.23
2018-06-26 03:00:00;53.35
2018-06-26 04:00:00;48.89
2018-06-26 05:00:00;47.66
2018-06-26 06:00:00;55.95
2018-06-26 07:00:00;70.58
2018-06-26 08:00:00;81.23
2018-06-26 09:00:00;89.91
2018-06-26 10:00:00;86.35
2018-06-26 11:00:00;99.39
2018-06-26 12:00:00;105.73
2018-06-26 13:00:00;109.25
2018-06-26 14:00:00;106.11
2018-06-26 15:00:00;106.02
2018-06-26 16:00:00;105.38
2018-06-26 17:00:00;104.25
2018-06-26 18:00:00;99.18
2018-06-26 19:00:00;83.45
2018-06-26 20:00:00;70.52
2018-06-26 21:00:00;66.24
2018-06-26 22:00:00;63.19
2018-06-26 23:00:00;57.8
2018-06-27 00:00:00;60.35
2018-06-27 01:00:00;56.93
2018-06-27 02:00:00;56.77
2018-06-27 03:00:00;53.56
2018-06-27 04:00:00;48.29
2018-06-27 05:00:00;47.08
2018-06-27 06:00:00;47.42
2018-06-27 07:00:00;67.24
2018-06-27 08:00:00;83.46
2018-06-27 09:00:00;91.51
2018-06-27 10:00:00;103.42
2018-06-27 11:00:00;114.89
2018-06-27 12:00:00;114.32
2018-06-27 13:00:00;111.79
2018-06-27 14:00:00;112.19
2018-06-27 15:00:00;106.98
2018-06-27 16:00:00;90.51
2018-06-27 17:00:00;79.19
2018-06-27 18:00:00;64.89
2018-06-27 19:00:00;58.45
2018-06-27 20:00:00;59.49
2018-06-27 21:00:00;58.09
