date;Ozone concentration
2018-06-26 19:00:00;104.27
2018-06-26 20:00:00;86.07
2018-06-26 21:00:00;67.0
2018-06-26 22:00:00;61.31
2018-06-26 23:00:00;62.23
2018-06-27 00:00:00;66.58
2018-06-27 01:00:00;61.57
2018-06-27 02:00:00;66.18
2018-06-27 03:00:00;68.35
2018-06-27 04:00:00;67.96
2018-06-27 05:00:00;55.11
2018-06-27 06:00:00;43.32
2018-06-27 07:00:00;57.57
2018-06-27 08:00:00;76.78
2018-06-27 09:00:00;85.87
2018-06-27 10:00:00;96.01
2018-06-27 11:00:00;101.25
2018-06-27 12:00:00;107.87
2018-06-27 13:00:00;109.48
2018-06-27 14:00:00;111.01
2018-06-27 15:00:00;111.75
2018-06-27 16:00:00;114.01
2018-06-27 17:00:00;109.97
2018-06-27 18:00:00;108.1
2018-06-27 19:00:00;103.53
2018-06-27 20:00:00;92.28
2018-06-27 21:00:00;81.9
2018-06-27 22:00:00;77.46
2018-06-27 23:00:00;83.94
2018-06-28 00:00:00;90.25
2018-06-28 01:00:00;94.85
2018-06-28 02:00:00;93.31
2018-06-28 03:00:00;88.69
2018-06-28 04:00:00;83.06
2018-06-28 05:00:00;75.05
2018-06-28 06:00:00;70.79
2018-06-28 07:00:00;81.96
2018-06-28 08:00:00;90.49
2018-06-28 09:00:00;99.3
2018-06-28 10:00:00;106.51
2018-06-28 11:00:00;105.68
2018-06-28 12:00:00;116.16
2018-06-28 13:00:00;118.15
2018-06-28 14:00:00;120.86
2018-06-28 15:00:00;124.52
2018-06-28 16:00:00;119.17
2018-06-28 17:00:00;121.06
2018-06-28 18:00:00;118.78
2018-06-28 19:00:00;114.96
2018-06-28 20:00:00;109.85
2018-06-28 21:00:00;103.14
2018-06-28 22:00:00;99.83
2018-06-28 23:00:00;100.24
2018-06-29 00:00:00;97.89
2018-06-29 01:00:00;95.02
2018-06-29 02:00:00;92.78
2018-06-29 03:00:00;94.58
2018-06-29 04:00:00;87.12
2018-06-29 05:00:00;73.46
2018-06-29 06:00:00;67.35
2018-06-29 07:00:00;75.71
2018-06-29 08:00:00;85.6
2018-06-29 09:00:00;98.43
2018-06-29 10:00:00;103.9
2018-06-29 11:00:00;102.46
2018-06-29 12:00:00;101.34
2018-06-29 13:00:00;107.22
2018-06-29 14:00:00;111.22
2018-06-29 15:00:00;109.39
2018-06-29 16:00:00;110.42
2018-06-29 17:00:00;114.51
2018-06-29 18:00:00;113.42
2018-06-29 19:00:00;107.39
2018-06-29 20:00:00;95.89
2018-06-29 21:00:00;93.66
2018-06-29 22:00:00;92.3
2018-06-29 23:00:00;88.28
2018-06-30 00:00:00;84.35
2018-06-30 01:00:00;80.38
2018-06-30 02:00:00;74.26
2018-06-30 03:00:00;59.42
2018-06-30 04:00:00;45.07
2018-06-30 05:00:00;40.73
2018-06-30 06:00:00;44.5
2018-06-30 07:00:00;51.16
2018-06-30 08:00:00;62.11
2018-06-30 09:00:00;89.36
2018-06-30 10:00:00;115.67
2018-06-30 11:00:00;122.98
2018-06-30 12:00:00;134.75
2018-06-30 13:00:00;136.58
2018-06-30 14:00:00;135.14
2018-06-30 15:00:00;137.12
2018-06-30 16:00:00;140.25
2018-06-30 17:00:00;140.11
2018-06-30 18:00:00;128.85
2018-06-30 19:00:00;117.23
2018-06-30 20:00:00;98.41
2018-06-30 21:00:00;96.51
2018-06-30 22:00:00;93.47
2018-06-30 23:00:00;84.94
2018-07-01 00:00:00;88.36
2018-07-01 01:00:00;81.38
2018-07-01 02:00:00;69.74
2018-07-01 03:00:00;64.53
2018-07-01 04:00:00;57.13
2018-07-01 05:00:00;53.61
2018-07-01 06:00:00;53.57
2018-07-01 07:00:00;67.81
2018-07-01 08:00:00;83.9
2018-07-01 09:00:00;93.71
2018-07-01 10:00:00;110.34
2018-07-01 11:00:00;119.3
2018-07-01 12:00:00;124.92
2018-07-01 13:00:00;130.18
2018-07-01 14:00:00;129.78
2018-07-01 15:00:00;125.65
2018-07-01 16:00:00;121.19
2018-07-01 17:00:00;119.15
2018-07-01 18:00:00;121.43
2018-07-01 19:00:00;107.6
2018-07-01 20:00:00;82.13
2018-07-01 21:00:00;83.82
2018-07-01 22:00:00;87.43
2018-07-01 23:00:00;86.6
2018-07-02 00:00:00;79.36
2018-07-02 01:00:00;74.73
2018-07-02 02:00:00;65.24
2018-07-02 03:00:00;67.25
2018-07-02 04:00:00;57.56
2018-07-02 05:00:00;44.73
2018-07-02 06:00:00;77.44
2018-07-02 07:00:00;89.94
2018-07-02 08:00:00;95.35
2018-07-02 09:00:00;98.03
2018-07-02 10:00:00;107.06
2018-07-02 11:00:00;122.46
2018-07-02 12:00:00;131.77
2018-07-02 13:00:00;127.66
2018-07-02 14:00:00;135.65
2018-07-02 15:00:00;124.88
2018-07-02 16:00:00;107.19
2018-07-02 17:00:00;85.28
2018-07-02 18:00:00;81.02
2018-07-02 19:00:00;88.37
2018-07-02 20:00:00;90.55
2018-07-02 21:00:00;89.65
2018-07-02 22:00:00;82.14
2018-07-02 23:00:00;80.15
2018-07-03 00:00:00;83.32
2018-07-03 01:00:00;75.05
2018-07-03 02:00:00;57.0
2018-07-03 03:00:00;64.48
2018-07-03 04:00:00;62.5
2018-07-03 05:00:00;57.56
2018-07-03 06:00:00;50.35
2018-07-03 07:00:00;40.07
2018-07-03 08:00:00;64.16
2018-07-03 09:00:00;81.4
2018-07-03 10:00:00;93.51
2018-07-03 11:00:00;101.41
2018-07-03 12:00:00;111.57
2018-07-03 13:00:00;121.93
2018-07-03 14:00:00;110.16
2018-07-03 15:00:00;100.43
2018-07-03 16:00:00;99.27
2018-07-03 17:00:00;96.23
2018-07-03 18:00:00;101.26
2018-07-03 19:00:00;94.13
2018-07-03 20:00:00;81.18
2018-07-03 21:00:00;75.75
2018-07-03 22:00:00;69.75
2018-07-03 23:00:00;73.88
2018-07-04 00:00:00;72.57
2018-07-04 01:00:00;50.25
2018-07-04 02:00:00;41.79
2018-07-04 03:00:00;49.23
2018-07-04 04:00:00;48.14
2018-07-04 05:00:00;33.45
2018-07-04 06:00:00;25.58
2018-07-04 07:00:00;30.72
2018-07-04 08:00:00;47.12
2018-07-04 09:00:00;70.22
2018-07-04 10:00:00;89.17
2018-07-04 11:00:00;111.31
2018-07-04 12:00:00;112.25
2018-07-04 13:00:00;79.57
2018-07-04 14:00:00;59.94
2018-07-04 15:00:00;71.59
2018-07-04 16:00:00;66.02
2018-07-04 17:00:00;64.84
2018-07-04 18:00:00;77.29
2018-07-04 19:00:00;74.0
2018-07-04 20:00:00;95.98
2018-07-04 21:00:00;87.74
2018-07-04 22:00:00;78.97
2018-07-04 23:00:00;80.53
2018-07-05 00:00:00;77.16
2018-07-05 01:00:00;59.71
2018-07-05 02:00:00;58.7
2018-07-05 03:00:00;53.25
2018-07-05 04:00:00;64.54
2018-07-05 05:00:00;53.08
2018-07-05 06:00:00;53.21
2018-07-05 07:00:00;63.51
2018-07-05 08:00:00;68.94
2018-07-05 09:00:00;75.54
2018-07-05 10:00:00;78.68
2018-07-05 11:00:00;77.77
2018-07-05 12:00:00;75.97
2018-07-05 13:00:00;76.45
2018-07-05 14:00:00;85.0
2018-07-05 15:00:00;84.19
2018-07-05 16:00:00;74.37
2018-07-05 17:00:00;74.13
2018-07-05 18:00:00;66.96
2018-07-05 19:00:00;63.77
2018-07-05 20:00:00;65.8
2018-07-05 21:00:00;65.68
2018-07-05 22:00:00;79.17
2018-07-05 23:00:00;82.39
2018-07-06 00:00:00;85.3
2018-07-06 01:00:00;85.51
